seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time
63,ইকবাল হাসান মাহ্‌মুদ,176638,BNP,BNP,Sirajganj-2,Sirajganj,Rajshahi,Urban,469878.0,235248.0,234626.0,4.0,2026-02-13 06:56:39.912346+00:00
198,মো: খায়রুল হাসান,78123,Jamaat,Jamaat-NCP,Gazipur-5,Gazipur,Dhaka,Rural,354643.0,179093.0,175548.0,2.0,2026-02-13 06:56:39.912346+00:00
198,"এ, কে, এম, ফজলুল হক মিলন",133869,BNP,BNP,Gazipur-5,Gazipur,Dhaka,Rural,354643.0,179093.0,175548.0,2.0,2026-02-13 06:56:39.912346+00:00
195,আলী নাছের খান,140950,NCP,Jamaat-NCP,Gazipur-2,Gazipur,Dhaka,Urban,804333.0,400402.0,403918.0,13.0,2026-02-13 06:56:39.912346+00:00
195,এম মঞ্জুরুল করিম রনি,188606,BNP,BNP,Gazipur-2,Gazipur,Dhaka,Urban,804333.0,400402.0,403918.0,13.0,2026-02-13 06:56:39.912346+00:00
69,মোঃ হেসাব উদ্দিন,75387,Jamaat,,Pabna-2,Pabna,Rajshahi,Rural,373425.0,191467.0,181957.0,1.0,2026-02-13 06:56:39.912346+00:00
69,"এ, কে, এম, সেলিম রেজা হাবিব",213950,BNP,BNP,Pabna-2,Pabna,Rajshahi,Rural,373425.0,191467.0,181957.0,1.0,2026-02-13 06:56:39.912346+00:00
72,মোঃ ইকবাল হোসাইন,164994,Jamaat,,Pabna-5,Pabna,Rajshahi,Urban,528044.0,266433.0,261608.0,3.0,2026-02-13 06:56:39.912346+00:00
72,মোঃ শামছুর রহমান শিমুল বিশ্বাস,181925,BNP,BNP,Pabna-5,Pabna,Rajshahi,Urban,528044.0,266433.0,261608.0,3.0,2026-02-13 06:56:39.912346+00:00
194,মোঃ শাহ্‌ আলম বকশী,149553,Jamaat,Jamaat-NCP,Gazipur-1,Gazipur,Dhaka,Rural,720939.0,360234.0,360693.0,12.0,2026-02-13 06:56:39.912346+00:00
194,মোঃ মজিবুর রহমান,208688,BNP,BNP,Gazipur-1,Gazipur,Dhaka,Rural,720939.0,360234.0,360693.0,12.0,2026-02-13 06:56:39.912346+00:00
25,সাইফুর রহমান রানা,123025,BNP,BNP,Kurigram-1,Kurigram,Rangpur,Rural,563978.0,281424.0,282551.0,3.0,2026-02-13 06:56:39.912346+00:00
25,মোঃ আনোয়ারুল ইসলাম,141090,Jamaat,Jamaat-NCP,Kurigram-1,Kurigram,Rangpur,Rural,563978.0,281424.0,282551.0,3.0,2026-02-13 06:56:39.912346+00:00
98,সোম নাথ দে,98326,BNP,BNP,Bagerhat-4,Bagerhat,Khulna,Rural,,,,,2026-02-13 06:56:39.912346+00:00
98,মোঃ আব্দুল আলীম,116067,Jamaat,Jamaat-NCP,Bagerhat-4,Bagerhat,Khulna,Rural,,,,,2026-02-13 06:56:39.912346+00:00
71,মোঃ হাবিবুর রহমান (হাবিব),133874,BNP,,Pabna-4,Pabna,Rajshahi,Rural,440168.0,221442.0,218720.0,6.0,2026-02-13 06:56:39.912346+00:00
71,মোঃ আবু তালেব মন্ডল,137675,Jamaat,Jamaat-NCP,Pabna-4,Pabna,Rajshahi,Rural,440168.0,221442.0,218720.0,6.0,2026-02-13 06:56:39.912346+00:00
96,শেখ মোহাম্মদ জাকির হোসেন,66409,BNP,BNP,Bagerhat-2,Bagerhat,Khulna,Urban,338009.0,167739.0,170265.0,5.0,2026-02-13 06:56:39.912346+00:00
96,শেখ মনজুরুল হক (রাহাদ),117709,Jamaat,Jamaat-NCP,Bagerhat-2,Bagerhat,Khulna,Urban,338009.0,167739.0,170265.0,5.0,2026-02-13 06:56:39.912346+00:00
70,মোঃ হাসান জাফির তুহিন,144206,BNP,,Pabna-3,Pabna,Rajshahi,Rural,486806.0,243937.0,242863.0,6.0,2026-02-13 06:56:39.912346+00:00
70,মুহাম্মাদ আলী আছগার,147475,Jamaat,Jamaat-NCP,Pabna-3,Pabna,Rajshahi,Rural,486806.0,243937.0,242863.0,6.0,2026-02-13 06:56:39.912346+00:00
95,কপিল কৃষ্ণ মন্ডল,114323,BNP,BNP,Bagerhat-1,Bagerhat,Khulna,Rural,375560.0,190838.0,184720.0,2.0,2026-02-13 06:56:39.912346+00:00
95,মোঃ মশিউর রহমান খান,117527,Jamaat,Jamaat-NCP,Bagerhat-1,Bagerhat,Khulna,Rural,375560.0,190838.0,184720.0,2.0,2026-02-13 06:56:39.912346+00:00
115,মোঃ নজরুল ইসলাম,75337,Jamaat,Jamaat-NCP,Bhola-1,Bhola,Barisal,Urban,406567.0,210087.0,196475.0,5.0,2026-02-13 06:56:39.912346+00:00
115,আন্দালিভ রহমান,105543,BJP,BNP,Bhola-1,Bhola,Barisal,Urban,406567.0,210087.0,196475.0,5.0,2026-02-13 06:56:39.912346+00:00
185,সাইফুল হক,30963,Revolutionary Workers Party of Bangladesh,BNP,Dhaka-12,Dhaka,Dhaka,Urban,333320.0,174349.0,158968.0,3.0,2026-02-13 06:56:39.912346+00:00
185,মোঃ সাইফুল আলম,53773,Jamaat,Jamaat-NCP,Dhaka-12,Dhaka,Dhaka,Urban,333320.0,174349.0,158968.0,3.0,2026-02-13 06:56:39.912346+00:00
23,মোঃ গোলাম রব্বানী,115116,BNP,BNP,Rangpur-5,Rangpur,Rangpur,Rural,469189.0,232462.0,236723.0,4.0,2026-02-13 06:56:39.912346+00:00
23,মোঃ গোলাম রব্বানী,176411,Jamaat,Jamaat-NCP,Rangpur-5,Rangpur,Rangpur,Rural,469189.0,232462.0,236723.0,4.0,2026-02-13 06:56:39.912346+00:00
21,মোঃ সামসুজ্জামান সামু,85498,BNP,BNP,Rangpur-3,Rangpur,Rangpur,Urban,508223.0,252369.0,255849.0,5.0,2026-02-13 06:56:39.912346+00:00
21,মোঃ মাহবুবুর রহমান (বেলাল),178064,Jamaat,Jamaat-NCP,Rangpur-3,Rangpur,Rangpur,Urban,508223.0,252369.0,255849.0,5.0,2026-02-13 06:56:39.912346+00:00
19,মোঃ মোকাররম হোসেন সুজন,69131,BNP,BNP,Rangpur-1,Rangpur,Rangpur,Rural,375227.0,188829.0,186394.0,4.0,2026-02-13 06:56:39.912346+00:00
19,মোঃ রায়হান সিরাজী,147245,Jamaat,Jamaat-NCP,Rangpur-1,Rangpur,Rangpur,Rural,375227.0,188829.0,186394.0,4.0,2026-02-13 06:56:39.912346+00:00
126,এস এম নেয়ামুল করিম,69805,Jamaat,Jamaat-NCP,Jhalokati-2,Jhalokati,Barisal,Urban,361001.0,181859.0,179140.0,2.0,2026-02-13 06:56:39.912346+00:00
126,ইসরাত সুলতানা ইলেন ভূট্টো,113100,BNP,BNP,Jhalokati-2,Jhalokati,Barisal,Urban,361001.0,181859.0,179140.0,2.0,2026-02-13 06:56:39.912346+00:00
118,মোহাম্মদ মোস্তফা কামাল,81437,Jamaat,Jamaat-NCP,Bhola-4,Bhola,Barisal,Rural,502026.0,262843.0,239176.0,7.0,2026-02-13 06:56:39.912346+00:00
118,মোহাম্মদ নূরুল ইসলাম,189351,BNP,BNP,Bhola-4,Bhola,Barisal,Rural,502026.0,262843.0,239176.0,7.0,2026-02-13 06:56:39.912346+00:00
117,মুহাঃ নিজামুল হক,57351,Bangladesh Development Party,Jamaat-NCP,Bhola-3,Bhola,Barisal,Rural,388550.0,200497.0,188050.0,3.0,2026-02-13 06:56:39.912346+00:00
117,হাফিজ উদ্দিন আহমদ বীর বিক্রম,145990,BNP,BNP,Bhola-3,Bhola,Barisal,Rural,388550.0,200497.0,188050.0,3.0,2026-02-13 06:56:39.912346+00:00
116,মোহাম্মদ ফজলুল করিম,93703,Jamaat,Jamaat-NCP,Bhola-2,Bhola,Barisal,Rural,395546.0,206433.0,189112.0,1.0,2026-02-13 06:56:39.912346+00:00
116,মোঃ হাফিজ ইব্রাহিম,119085,BNP,BNP,Bhola-2,Bhola,Barisal,Rural,395546.0,206433.0,189112.0,1.0,2026-02-13 06:56:39.912346+00:00
222,মাহমুদ হোসেন,70892,Jamaat,Jamaat-NCP,Shariatpur-2,Shariatpur,Dhaka,Rural,415135.0,215993.0,199140.0,2.0,2026-02-13 06:56:39.912346+00:00
222,মোঃ সফিকুর রহমান (কিরন),129814,BNP,BNP,Shariatpur-2,Shariatpur,Dhaka,Rural,415135.0,215993.0,199140.0,2.0,2026-02-13 06:56:39.912346+00:00
221,জালালুদ্দীন আহমদ,62717,Bangladesh Khelafat Mojlish,Jamaat-NCP,Shariatpur-1,Shariatpur,Dhaka,Urban,395476.0,207730.0,187736.0,10.0,2026-02-13 06:56:39.912346+00:00
221,সাঈদ আহমেদ,77398,BNP,BNP,Shariatpur-1,Shariatpur,Dhaka,Urban,395476.0,207730.0,187736.0,10.0,2026-02-13 06:56:39.912346+00:00
188,মোঃ শফিকুল ইসলাম খান,63517,BNP,BNP,Dhaka-15,Dhaka,Dhaka,Urban,351718.0,179616.0,172098.0,4.0,2026-02-13 06:56:39.912346+00:00
188,মোঃ শফিকুর রহমান,85131,Jamaat,Jamaat-NCP,Dhaka-15,Dhaka,Dhaka,Urban,351718.0,179616.0,172098.0,4.0,2026-02-13 06:56:39.912346+00:00
90,মোঃ আবুল হোসেন আজাদ,79321,BNP,BNP,Jessore-6,Jessore,Khulna,Rural,226423.0,113134.0,113287.0,2.0,2026-02-13 06:56:39.912346+00:00
90,মোঃ মোক্তার আলী,91018,Jamaat,Jamaat-NCP,Jessore-6,Jessore,Khulna,Rural,226423.0,113134.0,113287.0,2.0,2026-02-13 06:56:39.912346+00:00
